Date (America/Los_Angeles),Author,Comment
"2013-11-14 00:35:31","",""
"2012-10-17 09:13:58","gd.sierra",""
"2012-07-06 07:49:03","Guillermo90",""
"2012-07-06 07:46:48","Guillermo90",""
"2012-05-18 09:01:25","tpp1112-olfeba",""
"2012-05-17 08:34:31","tpp1112_thcagm",""
"2012-05-16 13:05:21","CarmenAlario",""
"2012-05-14 10:43:08","JoseLuisLabajoCarrion",""
"2012-05-10 12:06:23","tpp1112_mlsago",""
"2012-05-09 21:28:32","meri_mimi",""
"2012-04-21 01:35:45","CarmenAlario",""
"2012-04-17 12:14:11","TPP1112-CGA",""
"2012-04-17 12:03:56","TPP1112-CGA",""
"2012-03-18 01:18:04","a.alonso70",""
"2012-03-14 16:41:27","",""
"2012-03-14 16:40:23","",""
"2012-03-14 16:38:19","",""
"2012-03-10 17:42:37","",""
"2012-03-10 17:39:52","",""
"2012-03-10 17:39:12","",""
"2012-03-10 17:36:24","",""
"2012-03-10 17:26:56","",""
"2012-03-10 17:16:20","",""
"2012-03-10 02:42:59","tp112arbebe",""
"2012-03-10 02:41:58","tpp1112_igredo",""
"2012-03-10 02:38:11","airm",""
"2012-03-10 02:36:38","capalen",""
"2012-03-10 02:30:58","airm",""
"2012-03-10 02:24:04","airm",""
"2012-03-10 02:22:35","tpp1112_rocaan",""
"2012-03-10 02:22:32","a.alonso70",""
"2012-03-10 02:21:57","airm",""
"2012-03-10 02:21:40","capalen",""
"2012-03-10 02:20:45","",""
"2012-03-10 02:19:29","airm",""
"2012-03-10 02:19:06","tpp1112_rocaan",""
"2012-03-10 02:17:29","tpp1112_alraor",""
"2012-03-10 02:16:53","tpp1112_igredo",""
"2012-03-10 02:15:21","airm",""
"2012-03-10 02:15:13","capalen",""
"2012-03-10 02:15:09","tpp1112_alraor",""
"2012-03-10 02:15:06","tpp1112_igredo",""
"2012-03-10 02:14:18","tpp1112_mamiad",""
"2012-03-09 13:32:07","CarmenAlario",""
"2012-03-09 05:27:06","tp112arbebe",""
"2012-03-09 05:25:23","tp112arbebe",""
"2012-03-05 08:50:52","tpp1112-olfeba",""
"2012-03-03 14:20:42","TPP1112-CGA",""
"2012-02-29 09:36:25","tp112arbebe",""
"2012-02-24 13:30:40","sumaba",""
"2012-02-24 11:56:30","sumaba",""
"2012-02-24 11:51:08","",""
"2012-02-22 12:30:26","tpp1112-olfeba",""
"2012-02-20 05:18:44","tpp1112_glll",""
"2012-02-19 12:30:53","",""
"2012-02-19 12:28:03","",""
"2012-02-16 11:56:38","CarmenAlario",""
"2012-02-14 11:12:22","gd.sierra",""
"2012-02-11 20:52:57","tpp1112-olfeba",""
"2012-02-11 17:08:35","",""
"2012-02-11 04:27:03","",""
"2012-02-11 03:57:23","",""
"2012-02-11 03:49:57","sumaba",""
"2012-02-11 03:48:11","tpp1112_MJ_CC",""
"2012-02-11 03:42:28","TPP1112-CGA",""
"2012-02-11 03:32:12","sumaba",""
"2012-02-11 03:32:06","TPP1112-CGA",""
"2012-02-11 03:32:02","sumaba",""
"2012-02-01 01:14:31","gd.sierra",""
"2012-01-31 13:16:08","gd.sierra",""
"2012-01-31 13:14:28","",""
"2012-01-31 13:10:51","gd.sierra",""
"2012-01-20 16:06:31","sproker",""
"2012-01-20 15:45:25","",""
"2011-05-21 11:11:35","sproker",""
"2011-05-21 09:47:55","",""
"2011-05-20 16:17:01","miguelev",""
"2011-05-20 03:25:30","maria.lazaro",""
"2011-05-19 09:16:55","CarmenAlario",""
"2011-05-17 13:31:25","CarmenAlario",""
"2011-05-17 09:26:39","pd2010_mibryc",""
"2011-05-17 09:23:08","pd2010_mibryc",""
"2011-05-16 13:56:09","Suporthos",""
"2011-05-07 00:32:52","mpcosa",""
"2011-05-07 00:28:53","mpcosa",""
"2011-05-07 00:25:31","mpcosa",""
"2011-05-07 00:22:24","mpcosa",""
"2011-05-06 23:29:03","mpcosa",""
"2011-05-06 23:24:40","mpcosa",""
"2011-05-06 23:20:35","mpcosa",""
"2011-05-06 23:19:16","mpcosa",""
"2011-05-06 23:08:11","mpcosa",""
"2011-05-06 23:04:18","mpcosa",""
"2011-05-04 13:01:59","gd.sierra",""
"2011-04-19 00:53:29","pd2010_anloal",""
"2011-04-19 00:49:41","pd2010_anloal",""
"2011-04-14 01:16:00","sclil_olsa",""
"2011-04-14 01:14:35","sclil_olsa",""
"2011-04-09 16:31:46","",""
"2011-04-08 08:23:38","maria.lazaro",""
"2011-04-08 08:21:59","maria.lazaro",""
"2011-04-08 08:18:06","maria.lazaro",""
"2011-04-08 08:14:35","maria.lazaro",""
"2011-04-08 08:12:27","maria.lazaro",""
"2011-04-08 08:08:32","maria.lazaro",""
"2011-04-08 08:07:33","maria.lazaro",""
"2011-04-08 08:03:33","maria.lazaro",""
"2011-04-04 10:47:06","Varamis",""
"2011-04-02 23:49:14","",""
"2011-03-31 11:08:29","sclil_souad",""
"2011-03-27 14:39:56","CarmenAlario",""
"2011-03-27 14:39:19","CarmenAlario",""
"2011-03-26 15:59:52","miguelev",""
